Time Bucket,Market,Entry Date,Exit Date,Days Held,Win,P&L,P&L %,Volume
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-09-16,2024-11-15,60,Yes,9.54,9.5,14968970.92
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-08-17,2024-11-15,90,No,-8.70,-8.7,14968970.92
<3d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-14,2024-11-15,1,Yes,8.45,8.4,15917754.34
<3d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-13,2024-11-15,2,Yes,9.33,9.3,15917754.34
3-7d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-10,2024-11-15,5,Yes,8.63,8.6,15917754.34
7-30d,Jake Paul vs. Mike Tyson: Who will win?,2024-11-05,2024-11-15,10,No,-7.92,-7.9,15917754.34
7-30d,Jake Paul vs. Mike Tyson: Who will win?,2024-10-26,2024-11-15,20,No,-8.19,-8.2,15917754.34
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-10-16,2024-11-15,30,Yes,10.90,10.9,15917754.34
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-09-16,2024-11-15,60,No,-9.92,-9.9,15917754.34
>30d,Jake Paul vs. Mike Tyson: Who will win?,2024-08-17,2024-11-15,90,Yes,9.34,9.3,15917754.34
<3d,When will GPT-5 be announced?,2024-12-29,2024-12-30,1,Yes,9.14,9.1,82405.06
<3d,When will GPT-5 be announced?,2024-12-28,2024-12-30,2,Yes,8.90,8.9,82405.06
3-7d,When will GPT-5 be announced?,2024-12-25,2024-12-30,5,Yes,10.20,10.2,82405.06
7-30d,When will GPT-5 be announced?,2024-12-20,2024-12-30,10,Yes,7.86,7.9,82405.06
7-30d,When will GPT-5 be announced?,2024-12-10,2024-12-30,20,No,-9.98,-10.0,82405.06
>30d,When will GPT-5 be announced?,2024-11-30,2024-12-30,30,No,-9.44,-9.4,82405.06
>30d,When will GPT-5 be announced?,2024-10-31,2024-12-30,60,No,-8.17,-8.2,82405.06
>30d,When will GPT-5 be announced?,2024-10-01,2024-12-30,90,No,-9.82,-9.8,82405.06
<3d,When will GPT-5 be announced?,2024-12-29,2024-12-30,1,Yes,7.86,7.9,354246.43
<3d,When will GPT-5 be announced?,2024-12-28,2024-12-30,2,Yes,9.22,9.2,354246.43
3-7d,When will GPT-5 be announced?,2024-12-25,2024-12-30,5,Yes,9.28,9.3,354246.43
7-30d,When will GPT-5 be announced?,2024-12-20,2024-12-30,10,No,-9.05,-9.0,354246.43
7-30d,When will GPT-5 be announced?,2024-12-10,2024-12-30,20,No,-9.16,-9.2,354246.43
>30d,When will GPT-5 be announced?,2024-11-30,2024-12-30,30,Yes,7.91,7.9,354246.43
>30d,When will GPT-5 be announced?,2024-10-31,2024-12-30,60,No,-7.90,-7.9,354246.43
>30d,When will GPT-5 be announced?,2024-10-01,2024-12-30,90,No,-8.18,-8.2,354246.43
<3d,When will GPT-5 be announced?,2024-12-29,2024-12-30,1,Yes,8.65,8.6,417554.33
<3d,When will GPT-5 be announced?,2024-12-28,2024-12-30,2,Yes,8.58,8.6,417554.33
3-7d,When will GPT-5 be announced?,2024-12-25,2024-12-30,5,Yes,8.16,8.2,417554.33
7-30d,When will GPT-5 be announced?,2024-12-20,2024-12-30,10,No,-9.29,-9.3,417554.33
7-30d,When will GPT-5 be announced?,2024-12-10,2024-12-30,20,No,-10.37,-10.4,417554.33
>30d,When will GPT-5 be announced?,2024-11-30,2024-12-30,30,Yes,9.96,10.0,417554.33
>30d,When will GPT-5 be announced?,2024-10-31,2024-12-30,60,Yes,10.04,10.0,417554.33
>30d,When will GPT-5 be announced?,2024-10-01,2024-12-30,90,No,-8.07,-8.1,417554.33
<3d,When will GPT-5 be announced?,2024-12-29,2024-12-30,1,Yes,8.62,8.6,571862.41
<3d,When will GPT-5 be announced?,2024-12-28,2024-12-30,2,No,-8.68,-8.7,571862.41
3-7d,When will GPT-5 be announced?,2024-12-25,2024-12-30,5,No,-8.44,-8.4,571862.41
7-30d,When will GPT-5 be announced?,2024-12-20,2024-12-30,10,No,-9.73,-9.7,571862.41
7-30d,When will GPT-5 be announced?,2024-12-10,2024-12-30,20,No,-10.06,-10.1,571862.41
>30d,When will GPT-5 be announced?,2024-11-30,2024-12-30,30,No,-8.51,-8.5,571862.41
>30d,When will GPT-5 be announced?,2024-10-31,2024-12-30,60,No,-8.87,-8.9,571862.41
>30d,When will GPT-5 be announced?,2024-10-01,2024-12-30,90,No,-8.02,-8.0,571862.41
<3d,West Virginia Governor Election Winner,2024-11-04,2024-11-05,1,No,-9.59,-9.6,42058.22
<3d,West Virginia Governor Election Winner,2024-11-03,2024-11-05,2,No,-9.71,-9.7,42058.22
3-7d,West Virginia Governor Election Winner,2024-10-31,2024-11-05,5,Yes,9.54,9.5,42058.22
7-30d,West Virginia Governor Election Winner,2024-10-26,2024-11-05,10,No,-9.01,-9.0,42058.22
7-30d,West Virginia Governor Election Winner,2024-10-16,2024-11-05,20,No,-10.30,-10.3,42058.22
>30d,West Virginia Governor Election Winner,2024-10-06,2024-11-05,30,No,-7.45,-7.4,42058.22
>30d,West Virginia Governor Election Winner,2024-09-06,2024-11-05,60,No,-9.84,-9.8,42058.22
>30d,West Virginia Governor Election Winner,2024-08-07,2024-11-05,90,Yes,9.48,9.5,42058.22
<3d,West Virginia Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.22,9.2,197831.89
<3d,West Virginia Governor Election Winner,2024-11-03,2024-11-05,2,Yes,9.74,9.7,197831.89
3-7d,West Virginia Governor Election Winner,2024-10-31,2024-11-05,5,No,-9.19,-9.2,197831.89
7-30d,West Virginia Governor Election Winner,2024-10-26,2024-11-05,10,Yes,9.41,9.4,197831.89
7-30d,West Virginia Governor Election Winner,2024-10-16,2024-11-05,20,Yes,9.27,9.3,197831.89
>30d,West Virginia Governor Election Winner,2024-10-06,2024-11-05,30,No,-9.07,-9.1,197831.89
>30d,West Virginia Governor Election Winner,2024-09-06,2024-11-05,60,No,-8.21,-8.2,197831.89
>30d,West Virginia Governor Election Winner,2024-08-07,2024-11-05,90,No,-8.66,-8.7,197831.89
<3d,West Virginia Governor Election Winner,2024-11-04,2024-11-05,1,Yes,8.17,8.2,45330.78
<3d,West Virginia Governor Election Winner,2024-11-03,2024-11-05,2,No,-8.80,-8.8,45330.78
3-7d,West Virginia Governor Election Winner,2024-10-31,2024-11-05,5,Yes,10.21,10.2,45330.78
7-30d,West Virginia Governor Election Winner,2024-10-26,2024-11-05,10,Yes,9.25,9.2,45330.78
7-30d,West Virginia Governor Election Winner,2024-10-16,2024-11-05,20,No,-9.37,-9.4,45330.78
>30d,West Virginia Governor Election Winner,2024-10-06,2024-11-05,30,Yes,9.70,9.7,45330.78
>30d,West Virginia Governor Election Winner,2024-09-06,2024-11-05,60,Yes,9.97,10.0,45330.78
>30d,West Virginia Governor Election Winner,2024-08-07,2024-11-05,90,No,-8.60,-8.6,45330.78
<3d,Washington Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.77,9.8,75067.69
<3d,Washington Governor Election Winner,2024-11-03,2024-11-05,2,No,-9.15,-9.1,75067.69
3-7d,Washington Governor Election Winner,2024-10-31,2024-11-05,5,No,-8.79,-8.8,75067.69
7-30d,Washington Governor Election Winner,2024-10-26,2024-11-05,10,No,-10.08,-10.1,75067.69
7-30d,Washington Governor Election Winner,2024-10-16,2024-11-05,20,No,-8.58,-8.6,75067.69
>30d,Washington Governor Election Winner,2024-10-06,2024-11-05,30,Yes,9.81,9.8,75067.69
>30d,Washington Governor Election Winner,2024-09-06,2024-11-05,60,No,-9.88,-9.9,75067.69
>30d,Washington Governor Election Winner,2024-08-07,2024-11-05,90,Yes,8.07,8.1,75067.69
<3d,Washington Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.14,9.1,32685.52
<3d,Washington Governor Election Winner,2024-11-03,2024-11-05,2,No,-8.22,-8.2,32685.52
3-7d,Washington Governor Election Winner,2024-10-31,2024-11-05,5,Yes,8.06,8.1,32685.52
7-30d,Washington Governor Election Winner,2024-10-26,2024-11-05,10,No,-8.39,-8.4,32685.52
7-30d,Washington Governor Election Winner,2024-10-16,2024-11-05,20,No,-9.40,-9.4,32685.52
>30d,Washington Governor Election Winner,2024-10-06,2024-11-05,30,Yes,8.14,8.1,32685.52
>30d,Washington Governor Election Winner,2024-09-06,2024-11-05,60,No,-9.92,-9.9,32685.52
>30d,Washington Governor Election Winner,2024-08-07,2024-11-05,90,No,-8.99,-9.0,32685.52
<3d,Washington Governor Election Winner,2024-11-04,2024-11-05,1,No,-8.56,-8.6,153031.52
<3d,Washington Governor Election Winner,2024-11-03,2024-11-05,2,No,-9.24,-9.2,153031.52
3-7d,Washington Governor Election Winner,2024-10-31,2024-11-05,5,No,-7.61,-7.6,153031.52
7-30d,Washington Governor Election Winner,2024-10-26,2024-11-05,10,No,-9.27,-9.3,153031.52
7-30d,Washington Governor Election Winner,2024-10-16,2024-11-05,20,No,-10.59,-10.6,153031.52
>30d,Washington Governor Election Winner,2024-10-06,2024-11-05,30,No,-8.71,-8.7,153031.52
>30d,Washington Governor Election Winner,2024-09-06,2024-11-05,60,Yes,9.35,9.3,153031.52
>30d,Washington Governor Election Winner,2024-08-07,2024-11-05,90,Yes,7.73,7.7,153031.52
<3d,Utah Governor Election Winner,2024-11-04,2024-11-05,1,No,-9.95,-9.9,66744.78
<3d,Utah Governor Election Winner,2024-11-03,2024-11-05,2,Yes,8.78,8.8,66744.78
3-7d,Utah Governor Election Winner,2024-10-31,2024-11-05,5,Yes,8.41,8.4,66744.78
7-30d,Utah Governor Election Winner,2024-10-26,2024-11-05,10,Yes,8.82,8.8,66744.78
7-30d,Utah Governor Election Winner,2024-10-16,2024-11-05,20,No,-8.46,-8.5,66744.78
>30d,Utah Governor Election Winner,2024-10-06,2024-11-05,30,Yes,8.64,8.6,66744.78
>30d,Utah Governor Election Winner,2024-09-06,2024-11-05,60,Yes,9.75,9.7,66744.78
>30d,Utah Governor Election Winner,2024-08-07,2024-11-05,90,No,-7.89,-7.9,66744.78
<3d,Utah Governor Election Winner,2024-11-04,2024-11-05,1,Yes,10.12,10.1,81628.35
<3d,Utah Governor Election Winner,2024-11-03,2024-11-05,2,No,-9.13,-9.1,81628.35
3-7d,Utah Governor Election Winner,2024-10-31,2024-11-05,5,No,-9.48,-9.5,81628.35
7-30d,Utah Governor Election Winner,2024-10-26,2024-11-05,10,Yes,8.69,8.7,81628.35
7-30d,Utah Governor Election Winner,2024-10-16,2024-11-05,20,No,-9.40,-9.4,81628.35
>30d,Utah Governor Election Winner,2024-10-06,2024-11-05,30,Yes,9.18,9.2,81628.35
>30d,Utah Governor Election Winner,2024-09-06,2024-11-05,60,Yes,8.53,8.5,81628.35
>30d,Utah Governor Election Winner,2024-08-07,2024-11-05,90,No,-9.97,-10.0,81628.35
<3d,Utah Governor Election Winner,2024-11-04,2024-11-05,1,No,-8.13,-8.1,27202.48
<3d,Utah Governor Election Winner,2024-11-03,2024-11-05,2,Yes,10.17,10.2,27202.48
3-7d,Utah Governor Election Winner,2024-10-31,2024-11-05,5,No,-8.77,-8.8,27202.48
7-30d,Utah Governor Election Winner,2024-10-26,2024-11-05,10,Yes,10.10,10.1,27202.48
7-30d,Utah Governor Election Winner,2024-10-16,2024-11-05,20,No,-7.81,-7.8,27202.48
>30d,Utah Governor Election Winner,2024-10-06,2024-11-05,30,No,-9.00,-9.0,27202.48
>30d,Utah Governor Election Winner,2024-09-06,2024-11-05,60,No,-10.18,-10.2,27202.48
>30d,Utah Governor Election Winner,2024-08-07,2024-11-05,90,No,-7.93,-7.9,27202.48
<3d,North Dakota Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.69,9.7,35740.55
<3d,North Dakota Governor Election Winner,2024-11-03,2024-11-05,2,No,-9.63,-9.6,35740.55
3-7d,North Dakota Governor Election Winner,2024-10-31,2024-11-05,5,Yes,8.47,8.5,35740.55
7-30d,North Dakota Governor Election Winner,2024-10-26,2024-11-05,10,Yes,8.08,8.1,35740.55
7-30d,North Dakota Governor Election Winner,2024-10-16,2024-11-05,20,No,-8.89,-8.9,35740.55
>30d,North Dakota Governor Election Winner,2024-10-06,2024-11-05,30,Yes,7.33,7.3,35740.55
>30d,North Dakota Governor Election Winner,2024-09-06,2024-11-05,60,Yes,9.07,9.1,35740.55
>30d,North Dakota Governor Election Winner,2024-08-07,2024-11-05,90,Yes,10.01,10.0,35740.55
<3d,North Dakota Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.49,9.5,16522.48
<3d,North Dakota Governor Election Winner,2024-11-03,2024-11-05,2,No,-9.22,-9.2,16522.48
3-7d,North Dakota Governor Election Winner,2024-10-31,2024-11-05,5,Yes,9.13,9.1,16522.48
7-30d,North Dakota Governor Election Winner,2024-10-26,2024-11-05,10,No,-8.89,-8.9,16522.48
7-30d,North Dakota Governor Election Winner,2024-10-16,2024-11-05,20,Yes,8.79,8.8,16522.48
>30d,North Dakota Governor Election Winner,2024-10-06,2024-11-05,30,No,-7.82,-7.8,16522.48
>30d,North Dakota Governor Election Winner,2024-09-06,2024-11-05,60,Yes,10.24,10.2,16522.48
>30d,North Dakota Governor Election Winner,2024-08-07,2024-11-05,90,Yes,8.26,8.3,16522.48
<3d,North Dakota Governor Election Winner,2024-11-04,2024-11-05,1,Yes,7.98,8.0,55832.21
<3d,North Dakota Governor Election Winner,2024-11-03,2024-11-05,2,Yes,9.69,9.7,55832.21
3-7d,North Dakota Governor Election Winner,2024-10-31,2024-11-05,5,Yes,9.74,9.7,55832.21
7-30d,North Dakota Governor Election Winner,2024-10-26,2024-11-05,10,Yes,8.21,8.2,55832.21
7-30d,North Dakota Governor Election Winner,2024-10-16,2024-11-05,20,No,-8.36,-8.4,55832.21
>30d,North Dakota Governor Election Winner,2024-10-06,2024-11-05,30,Yes,9.06,9.1,55832.21
>30d,North Dakota Governor Election Winner,2024-09-06,2024-11-05,60,No,-7.71,-7.7,55832.21
>30d,North Dakota Governor Election Winner,2024-08-07,2024-11-05,90,No,-9.34,-9.3,55832.21
<3d,Montana Governor Election Winner,2024-11-03,2024-11-04,1,No,-8.44,-8.4,63513.23
<3d,Montana Governor Election Winner,2024-11-02,2024-11-04,2,No,-8.78,-8.8,63513.23
3-7d,Montana Governor Election Winner,2024-10-30,2024-11-04,5,Yes,9.07,9.1,63513.23
7-30d,Montana Governor Election Winner,2024-10-25,2024-11-04,10,No,-9.46,-9.5,63513.23
7-30d,Montana Governor Election Winner,2024-10-15,2024-11-04,20,No,-10.71,-10.7,63513.23
>30d,Montana Governor Election Winner,2024-10-05,2024-11-04,30,No,-10.48,-10.5,63513.23
>30d,Montana Governor Election Winner,2024-09-05,2024-11-04,60,No,-8.33,-8.3,63513.23
>30d,Montana Governor Election Winner,2024-08-06,2024-11-04,90,No,-10.32,-10.3,63513.23
<3d,Montana Governor Election Winner,2024-11-03,2024-11-04,1,Yes,9.75,9.7,86511.38
<3d,Montana Governor Election Winner,2024-11-02,2024-11-04,2,Yes,9.95,9.9,86511.38
3-7d,Montana Governor Election Winner,2024-10-30,2024-11-04,5,No,-9.95,-10.0,86511.38
7-30d,Montana Governor Election Winner,2024-10-25,2024-11-04,10,Yes,9.12,9.1,86511.38
7-30d,Montana Governor Election Winner,2024-10-15,2024-11-04,20,Yes,9.83,9.8,86511.38
>30d,Montana Governor Election Winner,2024-10-05,2024-11-04,30,Yes,9.72,9.7,86511.38
>30d,Montana Governor Election Winner,2024-09-05,2024-11-04,60,Yes,8.49,8.5,86511.38
>30d,Montana Governor Election Winner,2024-08-06,2024-11-04,90,No,-8.85,-8.9,86511.38
<3d,Montana Governor Election Winner,2024-11-03,2024-11-04,1,No,-8.37,-8.4,23888.29
<3d,Montana Governor Election Winner,2024-11-02,2024-11-04,2,Yes,8.07,8.1,23888.29
3-7d,Montana Governor Election Winner,2024-10-30,2024-11-04,5,No,-9.18,-9.2,23888.29
7-30d,Montana Governor Election Winner,2024-10-25,2024-11-04,10,No,-9.32,-9.3,23888.29
7-30d,Montana Governor Election Winner,2024-10-15,2024-11-04,20,Yes,9.51,9.5,23888.29
>30d,Montana Governor Election Winner,2024-10-05,2024-11-04,30,No,-7.72,-7.7,23888.29
>30d,Montana Governor Election Winner,2024-09-05,2024-11-04,60,Yes,7.77,7.8,23888.29
>30d,Montana Governor Election Winner,2024-08-06,2024-11-04,90,No,-9.81,-9.8,23888.29
<3d,Missouri Governor Election Winner,2024-11-04,2024-11-05,1,Yes,8.47,8.5,31196.37
<3d,Missouri Governor Election Winner,2024-11-03,2024-11-05,2,Yes,9.89,9.9,31196.37
3-7d,Missouri Governor Election Winner,2024-10-31,2024-11-05,5,Yes,8.84,8.8,31196.37
7-30d,Missouri Governor Election Winner,2024-10-26,2024-11-05,10,Yes,8.36,8.4,31196.37
7-30d,Missouri Governor Election Winner,2024-10-16,2024-11-05,20,No,-8.05,-8.0,31196.37
>30d,Missouri Governor Election Winner,2024-10-06,2024-11-05,30,No,-7.70,-7.7,31196.37
>30d,Missouri Governor Election Winner,2024-09-06,2024-11-05,60,No,-10.83,-10.8,31196.37
>30d,Missouri Governor Election Winner,2024-08-07,2024-11-05,90,No,-8.31,-8.3,31196.37
<3d,Missouri Governor Election Winner,2024-11-04,2024-11-05,1,Yes,8.70,8.7,43050.51
<3d,Missouri Governor Election Winner,2024-11-03,2024-11-05,2,Yes,8.76,8.8,43050.51
3-7d,Missouri Governor Election Winner,2024-10-31,2024-11-05,5,Yes,9.36,9.4,43050.51
7-30d,Missouri Governor Election Winner,2024-10-26,2024-11-05,10,Yes,8.01,8.0,43050.51
7-30d,Missouri Governor Election Winner,2024-10-16,2024-11-05,20,Yes,10.09,10.1,43050.51
>30d,Missouri Governor Election Winner,2024-10-06,2024-11-05,30,No,-8.26,-8.3,43050.51
>30d,Missouri Governor Election Winner,2024-09-06,2024-11-05,60,No,-8.02,-8.0,43050.51
>30d,Missouri Governor Election Winner,2024-08-07,2024-11-05,90,No,-8.32,-8.3,43050.51
<3d,Missouri Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.01,9.0,44511.85
<3d,Missouri Governor Election Winner,2024-11-03,2024-11-05,2,Yes,8.31,8.3,44511.85
3-7d,Missouri Governor Election Winner,2024-10-31,2024-11-05,5,Yes,8.08,8.1,44511.85
7-30d,Missouri Governor Election Winner,2024-10-26,2024-11-05,10,No,-8.85,-8.9,44511.85
7-30d,Missouri Governor Election Winner,2024-10-16,2024-11-05,20,No,-9.05,-9.1,44511.85
>30d,Missouri Governor Election Winner,2024-10-06,2024-11-05,30,No,-9.34,-9.3,44511.85
>30d,Missouri Governor Election Winner,2024-09-06,2024-11-05,60,Yes,8.25,8.3,44511.85
>30d,Missouri Governor Election Winner,2024-08-07,2024-11-05,90,No,-9.30,-9.3,44511.85
<3d,Indiana Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.89,9.9,140745.47
<3d,Indiana Governor Election Winner,2024-11-03,2024-11-05,2,Yes,9.01,9.0,140745.47
3-7d,Indiana Governor Election Winner,2024-10-31,2024-11-05,5,Yes,8.62,8.6,140745.47
7-30d,Indiana Governor Election Winner,2024-10-26,2024-11-05,10,Yes,9.53,9.5,140745.47
7-30d,Indiana Governor Election Winner,2024-10-16,2024-11-05,20,No,-9.57,-9.6,140745.47
>30d,Indiana Governor Election Winner,2024-10-06,2024-11-05,30,No,-8.18,-8.2,140745.47
>30d,Indiana Governor Election Winner,2024-09-06,2024-11-05,60,No,-9.64,-9.6,140745.47
>30d,Indiana Governor Election Winner,2024-08-07,2024-11-05,90,No,-9.41,-9.4,140745.47
<3d,Indiana Governor Election Winner,2024-11-04,2024-11-05,1,Yes,8.42,8.4,66448.80
<3d,Indiana Governor Election Winner,2024-11-03,2024-11-05,2,No,-8.02,-8.0,66448.80
3-7d,Indiana Governor Election Winner,2024-10-31,2024-11-05,5,Yes,10.17,10.2,66448.80
7-30d,Indiana Governor Election Winner,2024-10-26,2024-11-05,10,No,-8.76,-8.8,66448.80
7-30d,Indiana Governor Election Winner,2024-10-16,2024-11-05,20,No,-9.26,-9.3,66448.80
>30d,Indiana Governor Election Winner,2024-10-06,2024-11-05,30,No,-9.03,-9.0,66448.80
>30d,Indiana Governor Election Winner,2024-09-06,2024-11-05,60,Yes,9.64,9.6,66448.80
>30d,Indiana Governor Election Winner,2024-08-07,2024-11-05,90,No,-10.07,-10.1,66448.80
<3d,Indiana Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.27,9.3,87823.90
<3d,Indiana Governor Election Winner,2024-11-03,2024-11-05,2,Yes,9.58,9.6,87823.90
3-7d,Indiana Governor Election Winner,2024-10-31,2024-11-05,5,No,-9.53,-9.5,87823.90
7-30d,Indiana Governor Election Winner,2024-10-26,2024-11-05,10,No,-8.51,-8.5,87823.90
7-30d,Indiana Governor Election Winner,2024-10-16,2024-11-05,20,No,-8.19,-8.2,87823.90
>30d,Indiana Governor Election Winner,2024-10-06,2024-11-05,30,Yes,8.94,8.9,87823.90
>30d,Indiana Governor Election Winner,2024-09-06,2024-11-05,60,Yes,7.75,7.8,87823.90
>30d,Indiana Governor Election Winner,2024-08-07,2024-11-05,90,No,-10.05,-10.0,87823.90
<3d,New Hampshire Governor Election Winner,2024-11-04,2024-11-05,1,Yes,8.17,8.2,64825.25
<3d,New Hampshire Governor Election Winner,2024-11-03,2024-11-05,2,No,-10.09,-10.1,64825.25
3-7d,New Hampshire Governor Election Winner,2024-10-31,2024-11-05,5,No,-8.02,-8.0,64825.25
7-30d,New Hampshire Governor Election Winner,2024-10-26,2024-11-05,10,No,-8.50,-8.5,64825.25
7-30d,New Hampshire Governor Election Winner,2024-10-16,2024-11-05,20,Yes,8.24,8.2,64825.25
>30d,New Hampshire Governor Election Winner,2024-10-06,2024-11-05,30,No,-9.64,-9.6,64825.25
>30d,New Hampshire Governor Election Winner,2024-09-06,2024-11-05,60,Yes,7.51,7.5,64825.25
>30d,New Hampshire Governor Election Winner,2024-08-07,2024-11-05,90,Yes,10.15,10.1,64825.25
<3d,New Hampshire Governor Election Winner,2024-11-04,2024-11-05,1,Yes,10.26,10.3,97030.93
<3d,New Hampshire Governor Election Winner,2024-11-03,2024-11-05,2,Yes,10.34,10.3,97030.93
3-7d,New Hampshire Governor Election Winner,2024-10-31,2024-11-05,5,No,-9.22,-9.2,97030.93
7-30d,New Hampshire Governor Election Winner,2024-10-26,2024-11-05,10,No,-10.14,-10.1,97030.93
7-30d,New Hampshire Governor Election Winner,2024-10-16,2024-11-05,20,No,-9.52,-9.5,97030.93
>30d,New Hampshire Governor Election Winner,2024-10-06,2024-11-05,30,No,-8.49,-8.5,97030.93
>30d,New Hampshire Governor Election Winner,2024-09-06,2024-11-05,60,No,-9.55,-9.5,97030.93
>30d,New Hampshire Governor Election Winner,2024-08-07,2024-11-05,90,No,-9.82,-9.8,97030.93
<3d,New Hampshire Governor Election Winner,2024-11-04,2024-11-05,1,No,-8.95,-8.9,68620.45
<3d,New Hampshire Governor Election Winner,2024-11-03,2024-11-05,2,Yes,9.82,9.8,68620.45
3-7d,New Hampshire Governor Election Winner,2024-10-31,2024-11-05,5,Yes,8.67,8.7,68620.45
7-30d,New Hampshire Governor Election Winner,2024-10-26,2024-11-05,10,No,-8.43,-8.4,68620.45
7-30d,New Hampshire Governor Election Winner,2024-10-16,2024-11-05,20,No,-9.93,-9.9,68620.45
>30d,New Hampshire Governor Election Winner,2024-10-06,2024-11-05,30,Yes,8.81,8.8,68620.45
>30d,New Hampshire Governor Election Winner,2024-09-06,2024-11-05,60,Yes,10.43,10.4,68620.45
>30d,New Hampshire Governor Election Winner,2024-08-07,2024-11-05,90,No,-8.58,-8.6,68620.45
<3d,How many Jobs added in March?,2024-04-04,2024-04-05,1,No,-9.82,-9.8,12529.62
<3d,How many Jobs added in March?,2024-04-03,2024-04-05,2,Yes,8.63,8.6,12529.62
3-7d,How many Jobs added in March?,2024-03-31,2024-04-05,5,No,-8.46,-8.5,12529.62
7-30d,How many Jobs added in March?,2024-03-26,2024-04-05,10,Yes,8.11,8.1,12529.62
7-30d,How many Jobs added in March?,2024-03-16,2024-04-05,20,No,-10.25,-10.2,12529.62
>30d,How many Jobs added in March?,2024-03-06,2024-04-05,30,No,-10.18,-10.2,12529.62
>30d,How many Jobs added in March?,2024-02-05,2024-04-05,60,No,-9.67,-9.7,12529.62
>30d,How many Jobs added in March?,2024-01-06,2024-04-05,90,No,-9.46,-9.5,12529.62
<3d,How many Jobs added in March?,2024-04-04,2024-04-05,1,Yes,8.51,8.5,21361.40
<3d,How many Jobs added in March?,2024-04-03,2024-04-05,2,Yes,9.15,9.1,21361.40
3-7d,How many Jobs added in March?,2024-03-31,2024-04-05,5,Yes,9.28,9.3,21361.40
7-30d,How many Jobs added in March?,2024-03-26,2024-04-05,10,Yes,9.52,9.5,21361.40
7-30d,How many Jobs added in March?,2024-03-16,2024-04-05,20,No,-9.27,-9.3,21361.40
>30d,How many Jobs added in March?,2024-03-06,2024-04-05,30,No,-8.18,-8.2,21361.40
>30d,How many Jobs added in March?,2024-02-05,2024-04-05,60,No,-8.64,-8.6,21361.40
>30d,How many Jobs added in March?,2024-01-06,2024-04-05,90,No,-7.87,-7.9,21361.40
<3d,How many Jobs added in March?,2024-04-04,2024-04-05,1,No,-9.09,-9.1,29553.66
<3d,How many Jobs added in March?,2024-04-03,2024-04-05,2,No,-9.27,-9.3,29553.66
3-7d,How many Jobs added in March?,2024-03-31,2024-04-05,5,No,-8.30,-8.3,29553.66
7-30d,How many Jobs added in March?,2024-03-26,2024-04-05,10,No,-8.99,-9.0,29553.66
7-30d,How many Jobs added in March?,2024-03-16,2024-04-05,20,Yes,8.64,8.6,29553.66
>30d,How many Jobs added in March?,2024-03-06,2024-04-05,30,No,-8.80,-8.8,29553.66
>30d,How many Jobs added in March?,2024-02-05,2024-04-05,60,Yes,8.64,8.6,29553.66
>30d,How many Jobs added in March?,2024-01-06,2024-04-05,90,No,-7.73,-7.7,29553.66
<3d,North Carolina Governor Election Winner,2024-11-04,2024-11-05,1,Yes,9.35,9.3,283661.75
<3d,North Carolina Governor Election Winner,2024-11-03,2024-11-05,2,Yes,8.40,8.4,283661.75
3-7d,North Carolina Governor Election Winner,2024-10-31,2024-11-05,5,No,-9.87,-9.9,283661.75
7-30d,North Carolina Governor Election Winner,2024-10-26,2024-11-05,10,No,-9.31,-9.3,283661.75
7-30d,North Carolina Governor Election Winner,2024-10-16,2024-11-05,20,No,-7.77,-7.8,283661.75
>30d,North Carolina Governor Election Winner,2024-10-06,2024-11-05,30,No,-7.88,-7.9,283661.75
>30d,North Carolina Governor Election Winner,2024-09-06,2024-11-05,60,Yes,8.75,8.8,283661.75
>30d,North Carolina Governor Election Winner,2024-08-07,2024-11-05,90,No,-8.24,-8.2,283661.75
<3d,North Carolina Governor Election Winner,2024-11-04,2024-11-05,1,No,-9.93,-9.9,545065.68
<3d,North Carolina Governor Election Winner,2024-11-03,2024-11-05,2,No,-9.18,-9.2,545065.68
3-7d,North Carolina Governor Election Winner,2024-10-31,2024-11-05,5,No,-7.81,-7.8,545065.68
7-30d,North Carolina Governor Election Winner,2024-10-26,2024-11-05,10,No,-8.16,-8.2,545065.68
7-30d,North Carolina Governor Election Winner,2024-10-16,2024-11-05,20,No,-8.80,-8.8,545065.68
>30d,North Carolina Governor Election Winner,2024-10-06,2024-11-05,30,Yes,10.11,10.1,545065.68
>30d,North Carolina Governor Election Winner,2024-09-06,2024-11-05,60,Yes,9.76,9.8,545065.68
>30d,North Carolina Governor Election Winner,2024-08-07,2024-11-05,90,No,-9.25,-9.3,545065.68
<3d,North Carolina Governor Election Winner,2024-11-04,2024-11-05,1,No,-9.77,-9.8,338125.06
